"OrphaCode"|"AverageAgeOfOnset"|"AverageAgeOfDeath"|"InheritanceTypes"
166024|"Infancy, Neonatal"|""|"Autosomal recessive"
58|"All ages"|""|"Autosomal dominant"
166032|"Childhood, Infancy"|""|""
61|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
166029|"Childhood"|""|""
166038|"Neonatal"|""|""
93|"Childhood"|""|"Autosomal recessive"
166035|"Childhood, Infancy"|""|""
585|"Infancy, Neonatal"|""|"Autosomal recessive"
118|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
141|"Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
166063|"Antenatal"|""|"Autosomal recessive"
166078|"All ages"|""|"Autosomal dominant"
166073|"Neonatal"|""|"Autosomal recessive"
213|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
166084|""|""|"Autosomal dominant, Autosomal recessive"
333|"Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
166081|"All ages"|""|"Autosomal dominant, Autosomal recessive"
349|"Childhood, Infancy"|""|"Autosomal recessive"
166090|""|""|"Autosomal dominant"
365|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
166087|""|""|"Autosomal dominant"
366|"Childhood, Infancy"|""|"Autosomal recessive"
166093|""|""|"Autosomal recessive"
368|"Childhood, Infancy"|""|"Autosomal recessive"
166096|"Infancy, Neonatal"|""|"Autosomal recessive"
367|"All ages"|""|"Autosomal recessive"
166100|"Infancy, Neonatal"|""|"Autosomal dominant"
371|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
166105|"Adolescent, Infancy, Neonatal"|""|"Autosomal recessive"
369|"Childhood"|""|"Autosomal recessive"
447|"All ages"|""|"Not applicable"
166108|"Infancy"|""|""
166113|"Adult"|""|"Not applicable"
535|"All ages"|""|"Multigenic/multifactorial"
166119|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
487|"Adolescent, Adult, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
166260|"Childhood"|""|"Autosomal dominant"
166265|"Childhood"|""|"Autosomal dominant"
583|"Childhood"|""|"Autosomal recessive"
166272|"Infancy, Neonatal"|""|""
576|"Antenatal, Neonatal"|""|"Autosomal recessive"
166277|"Childhood"|""|"Unknown"
812|"Adolescent, Childhood"|""|"Autosomal recessive"
166282|""|""|"Autosomal dominant, Autosomal recessive"
578|"Infancy"|""|"Autosomal recessive"
166286|"Infancy, Neonatal"|""|""
577|"Childhood"|""|"Autosomal recessive"
166291|"All ages"|""|"Not applicable"
166308|"Infancy"|""|""
166305|"Infancy"|""|""
2912|"Childhood"|""|"Not applicable"
796|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive"
166409|"Adolescent, Adult, Childhood"|""|""
801|"All ages"|""|"Not applicable"
461|"Neonatal"|""|"X-linked recessive"
584|"Adolescent, Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal recessive"
166412|""|""|"Autosomal dominant"
881|"Antenatal, Childhood, Infancy, Neonatal"|""|"Not applicable, Unknown"
95|"Adolescent, Childhood"|""|"Autosomal recessive"
848|"Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
846|"All ages"|""|"Autosomal recessive"
586|"All ages"|""|"Autosomal recessive"
262|"Adolescent, Adult, Childhood"|""|"X-linked recessive"
261|"Childhood"|""|"Autosomal dominant, Autosomal recessive, X-linked recessive"
550|"Adolescent, Adult, Childhood"|""|"Mitochondrial inheritance, Not applicable"
269|"All ages"|""|"Autosomal dominant"
480|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal recessive, Mitochondrial inheritance, Not applicable"
593|"Adult"|""|"Autosomal dominant, Autosomal recessive"
551|"Adult, Childhood"|""|"Mitochondrial inheritance"
597|"Childhood"|""|"Autosomal dominant"
607|"All ages"|""|"Autosomal dominant, Autosomal recessive, Not applicable"
163746|"Infancy, Neonatal"|""|"Autosomal dominant"
684|"Adolescent, Adult, Childhood"|""|"Autosomal dominant"
163931|""|""|"Autosomal recessive"
273|"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal"|""|"Autosomal dominant"
163927|""|""|"Autosomal dominant, Autosomal recessive"
163937|"Infancy, Neonatal"|""|"X-linked dominant"
163934|"All ages"|""|"Not applicable"
614|"Adolescent, Adult, Childhood, Infancy"|""|"Autosomal dominant, Autosomal recessive"
163921|"All ages"|""|""
